STT|Mã Lớp Học|Mã Môn Học|Năm học
1|S_11_LH_1|202252|2020
2|S_11_LH_2|202253|2020
3|S_11_LH_3|202354|2020
4|S_11_LH_4|202453|2020
5|S_11_LH_5|202452|2020
6|S_11_LH_6|212339|2020
7|S_11_LH_7|214101|2020
8|S_11_LH_8|214101|2020
9|S_11_LH_9|214377|2020
10|S_11_LH_10|210316|2020
11|S_11_LH_11|206512|2020
12|S_11_LH_12|206515|2020
13|S_11_LH_13|206505|2020
14|S_11_LH_14|210316|2020
15|S_11_LH_15|203105|2020
16|S_11_LH_16|212110|2020
17|S_11_LH_17|206407|2020
18|S_11_LH_18|206417|2020
19|S_11_LH_19|203421|2020
20|S_11_LH_20|203526|2020
21|S_11_LH_21|203526|2020
22|S_11_LH_22|203422|2020
23|S_11_LH_23|203914|2020
24|S_11_LH_24|203301|2020
25|S_11_LH_25|203302|2020
