STT|Mã Đăng Ký|Mã Sinh Viên|Mã Lớp Học|Thời gian đăng ký
1|S_11_DK_1|17130106|DH17DTB|2020/06-01
2|S_11_DK_2|17130255|DH17DTC|2020/06-02
3|S_11_DK_3|17130037|DH17DTB|2020/06-03
4|S_11_DK_4|17130217|DH17DTC|2020/06-04
5|S_11_DK_5|17130047|DH17DTB|2020/06-05
6|S_11_DK_6|17130197|DH17DTB|2020/06-06
7|S_11_DK_7|17130005|DH17DTC|2020/06-07
8|S_11_DK_8|17130099|DH17DTB|2020/06-08
9|S_11_DK_9|17130264|DH17DTB|2020/06-09
10|S_11_DK_10|17130276|DH17DTC|2020/06-10
11|S_11_DK_11|17130133|DH17DTC|2020/06-11
12|S_11_DK_12|17130021|DH17DTB|2020/06-12
13|S_11_DK_13|17130256|DH17DTC|2020/06-13
14|S_11_DK_14|17130024|DH17DTA|2020/06-14
15|S_11_DK_15|17130247|DH17DTA|2020/06-04
16|S_11_DK_16|17130041|DH17DTB|2020/06-05
17|S_11_DK_17|17130281|DH17DTA|2020/06-06
18|S_11_DK_18|17130078|DH17DTB|2020/06-07
19|S_11_DK_19|17130061|DH17DTA|2020/06-08
20|S_11_DK_20|17130246|DH17DTC|2020/06-09
21|S_11_DK_21|17130068|DH17DTA|2020/06-01
22|S_11_DK_22|17130120|DH17DTB|2020/06-02
23|S_11_DK_23|17130044|DH17DTA|2020/06-03
24|S_11_DK_24|17130275|DH17DTA|2020/06-04
25|S_11_DK_25|17130278|DH17DTB|2020/06-05
